# lat,lon,tnum,Layer_1_depth,Layer_2_depth
7.802865433333333556e+01,6.855657716666665635e+01,1.000000000000000000e+00,nan,nan
7.802867150515854178e+01,6.855666907305239022e+01,2.000000000000000000e+00,8.071440000000000055e+02,nan
7.802868466995509777e+01,6.855677409472147588e+01,3.000000000000000000e+00,8.078199999999999363e+02,nan
7.802868821558438128e+01,6.855689732569959460e+01,4.000000000000000000e+00,8.078199999999999363e+02,nan
7.802869658467599834e+01,6.855696875157833858e+01,5.000000000000000000e+00,8.084959999999999809e+02,nan
7.802871675411898877e+01,6.855689778293404402e+01,6.000000000000000000e+00,8.084959999999999809e+02,nan
7.802874091204608931e+01,6.855684552424769151e+01,7.000000000000000000e+00,8.051159999999999854e+02,nan
7.802876188387838852e+01,6.855677023224322397e+01,8.000000000000000000e+00,8.051159999999999854e+02,nan
7.802877084226811633e+01,6.855683843936236599e+01,9.000000000000000000e+00,8.051159999999999854e+02,nan
7.802875770505933417e+01,6.855694575634217358e+01,1.000000000000000000e+01,8.051159999999999854e+02,nan
7.802873591400503983e+01,6.855701427027887007e+01,1.100000000000000000e+01,8.051159999999999854e+02,nan
7.802871075191463035e+01,6.855701442779729859e+01,1.200000000000000000e+01,8.051159999999999854e+02,nan
7.802869465734693222e+01,6.855696570196019479e+01,1.300000000000000000e+01,8.051159999999999854e+02,nan
7.802867251426246753e+01,6.855703915672697235e+01,1.400000000000000000e+01,8.051159999999999854e+02,nan
7.802865177991944279e+01,6.855712051439873278e+01,1.500000000000000000e+01,8.051159999999999854e+02,nan
7.802864826297613376e+01,6.855724621383495787e+01,1.600000000000000000e+01,8.044399999999999409e+02,nan
7.802864124472336016e+01,6.855735873898163391e+01,1.700000000000000000e+01,8.044399999999999409e+02,nan
7.802862515921727038e+01,6.855746251114234724e+01,1.800000000000000000e+01,8.044399999999999409e+02,nan
7.802860602655830746e+01,6.855755306401114524e+01,1.900000000000000000e+01,8.044399999999999409e+02,nan
7.802858794718160595e+01,6.855764880696901287e+01,2.000000000000000000e+01,8.044399999999999409e+02,nan
7.802857062709045977e+01,6.855774731005107014e+01,2.100000000000000000e+01,8.044399999999999409e+02,nan
7.802854629730167346e+01,6.855780240525018598e+01,2.200000000000000000e+01,8.044399999999999409e+02,nan
7.802853289017849647e+01,6.855791361758284097e+01,2.300000000000000000e+01,8.044399999999999409e+02,nan
7.802851400638405721e+01,6.855800576924077916e+01,2.400000000000000000e+01,8.044399999999999409e+02,nan
7.802849266054106181e+01,6.855808451809400594e+01,2.500000000000000000e+01,8.044399999999999409e+02,nan
7.802847341850480234e+01,6.855817480235414507e+01,2.600000000000000000e+01,8.044399999999999409e+02,nan
7.802845478380258726e+01,6.855826816795428158e+01,2.700000000000000000e+01,8.044399999999999409e+02,nan
7.802843815472419919e+01,6.855836939464239776e+01,2.800000000000000000e+01,8.044399999999999409e+02,nan
7.802842401195660216e+01,6.855847933919415027e+01,2.900000000000000000e+01,8.051159999999999854e+02,nan
7.802841177026731145e+01,6.855859468311091121e+01,3.000000000000000000e+01,8.051159999999999854e+02,nan
7.802839673456026048e+01,6.855870068302697007e+01,3.100000000000000000e+01,8.044399999999999409e+02,nan
7.802837893588403517e+01,6.855879762759656160e+01,3.200000000000000000e+01,8.030879999999999654e+02,nan
7.802836333619961806e+01,6.855890313818927950e+01,3.300000000000000000e+01,8.030879999999999654e+02,nan
7.802834606523337868e+01,6.855900215242327533e+01,3.400000000000000000e+01,8.030879999999999654e+02,nan
7.802832575580045216e+01,6.855908155065165488e+01,3.500000000000000000e+01,8.024119999999999209e+02,nan
7.802830228412393865e+01,6.855914454313955275e+01,3.600000000000000000e+01,8.024119999999999209e+02,nan
7.802828269431864783e+01,6.855923026494694739e+01,3.700000000000000000e+01,8.024119999999999209e+02,nan
7.802826550708394393e+01,6.855932978923176790e+01,3.800000000000000000e+01,8.024119999999999209e+02,nan
7.802824701482799696e+01,6.855942381955138387e+01,3.900000000000000000e+01,8.024119999999999209e+02,nan
7.802822338416453363e+01,6.855947827968577712e+01,4.000000000000000000e+01,8.024119999999999209e+02,nan
7.802821380030003695e+01,6.855958499489500468e+01,4.100000000000000000e+01,8.024119999999999209e+02,nan
7.802820546202119090e+01,6.855970304712904806e+01,4.200000000000000000e+01,8.024119999999999209e+02,nan
7.802818516952631001e+01,6.855978756351902348e+01,4.300000000000000000e+01,8.024119999999999209e+02,nan
7.802816453145153730e+01,6.855986976161027258e+01,4.400000000000000000e+01,8.017359999999999900e+02,nan
7.802814304183887373e+01,6.855994533905405319e+01,4.500000000000000000e+01,8.017359999999999900e+02,nan
7.802812248698751318e+01,6.856002726783368928e+01,4.600000000000000000e+01,8.017359999999999900e+02,nan
7.802810318316066684e+01,6.856011742412758281e+01,4.700000000000000000e+01,8.017359999999999900e+02,nan
7.802808304972320741e+01,6.856020205558077407e+01,4.800000000000000000e+01,8.010599999999999454e+02,nan
7.802805876283815678e+01,6.856025758653153446e+01,4.900000000000000000e+01,8.010599999999999454e+02,nan
7.802803899442788804e+01,6.856034365520498852e+01,5.000000000000000000e+01,8.010599999999999454e+02,nan
7.802801945933960326e+01,6.856043209441351394e+01,5.100000000000000000e+01,8.010599999999999454e+02,nan
7.802799747516624507e+01,6.856050664943619211e+01,5.200000000000000000e+01,8.010599999999999454e+02,nan
7.802798370861233934e+01,6.856061545128949319e+01,5.300000000000000000e+01,8.010599999999999454e+02,nan
7.802796678954538834e+01,6.856071211838144563e+01,5.400000000000000000e+01,8.010599999999999454e+02,nan
7.802794608926649289e+01,6.856079446364657315e+01,5.500000000000000000e+01,8.010599999999999454e+02,nan
7.802792747734632428e+01,6.856088794149280830e+01,5.600000000000000000e+01,8.010599999999999454e+02,nan
7.802790784328776397e+01,6.856097622739392250e+01,5.700000000000000000e+01,8.010599999999999454e+02,nan
7.802788943591184534e+01,6.856106891550348337e+01,5.800000000000000000e+01,8.010599999999999454e+02,nan
7.802787893206537717e+01,6.856118673132050390e+01,5.900000000000000000e+01,8.010599999999999454e+02,nan
7.802787068408515836e+01,6.856130881100189356e+01,6.000000000000000000e+01,8.010599999999999454e+02,nan
7.802785102146653173e+01,6.856139540558774570e+01,6.100000000000000000e+01,8.003840000000000146e+02,nan
7.802783219291652017e+01,6.856148603716515311e+01,6.200000000000000000e+01,8.003840000000000146e+02,nan
7.802781004980730017e+01,6.856155612548174361e+01,6.300000000000000000e+01,8.003840000000000146e+02,nan
7.802778370653624052e+01,6.856157471904037948e+01,6.400000000000000000e+01,8.003840000000000146e+02,nan
7.802775863157654612e+01,6.856161312163514765e+01,6.500000000000000000e+01,7.997079999999999700e+02,nan
7.802774114922011961e+01,6.856171149742330329e+01,6.600000000000000000e+01,7.997079999999999700e+02,nan
7.802771962791027249e+01,6.856178912403841252e+01,6.700000000000000000e+01,7.997079999999999700e+02,nan
7.802769912007384789e+01,6.856187247022327824e+01,6.800000000000000000e+01,7.997079999999999700e+02,nan
7.802767984116911748e+01,6.856196275192351663e+01,6.900000000000000000e+01,7.990319999999999254e+02,nan
7.802766177007273996e+01,6.856205850389436307e+01,7.000000000000000000e+01,7.990319999999999254e+02,nan
7.802764374335609432e+01,6.856215457148874748e+01,7.100000000000000000e+01,7.990319999999999254e+02,nan
7.802762538963261818e+01,6.856224922457739979e+01,7.200000000000000000e+01,7.990319999999999254e+02,nan
7.802760688066427974e+01,6.856234317354773111e+01,7.300000000000000000e+01,7.997079999999999700e+02,nan
7.802759048362464966e+01,6.856244563899984712e+01,7.400000000000000000e+01,7.997079999999999700e+02,nan
7.802757307560754896e+01,6.856254399378342157e+01,7.500000000000000000e+01,7.997079999999999700e+02,nan
7.802755437311108722e+01,6.856263704106865475e+01,7.600000000000000000e+01,7.997079999999999700e+02,nan
7.802753608808816921e+01,6.856273176518195100e+01,7.700000000000000000e+01,7.997079999999999700e+02,nan
7.802751924264251215e+01,6.856283272168037968e+01,7.800000000000000000e+01,7.997079999999999700e+02,nan
7.802749936373777473e+01,6.856291968495369815e+01,7.900000000000000000e+01,7.997079999999999700e+02,nan
7.802748130985493447e+01,6.856301507816775143e+01,8.000000000000000000e+01,7.997079999999999700e+02,nan
7.802746439978585613e+01,6.856311578200023860e+01,8.100000000000000000e+01,7.997079999999999700e+02,nan
7.802744736240222778e+01,6.856321598705652320e+01,8.200000000000000000e+01,7.997079999999999700e+02,nan
7.802742529762211632e+01,6.856328920695490581e+01,8.300000000000000000e+01,7.997079999999999700e+02,nan
7.802740245940378827e+01,6.856335747611204567e+01,8.400000000000000000e+01,7.997079999999999700e+02,nan
7.802737939925793853e+01,6.856342402593007535e+01,8.500000000000000000e+01,7.997079999999999700e+02,nan
7.802735692032017312e+01,6.856349506785603865e+01,8.600000000000000000e+01,7.997079999999999700e+02,nan
