# lat,lon,tnum,Layer_1_depth,Layer_2_depth
7.805565716666666276e+01,6.851090833333333308e+01,1.000000000000000000e+00,8.301279999999999291e+02,nan
7.805564078144043094e+01,6.851098349796883724e+01,2.000000000000000000e+00,8.294520000000001119e+02,nan
7.805563495848967648e+01,6.851108175444022663e+01,3.000000000000000000e+00,8.294520000000001119e+02,nan
7.805564785777914949e+01,6.851114537032685803e+01,4.000000000000000000e+00,8.294520000000001119e+02,nan
7.805566727611700628e+01,6.851113010473753206e+01,5.000000000000000000e+00,8.294520000000001119e+02,nan
7.805567613920212011e+01,6.851101323368726526e+01,6.000000000000000000e+00,8.301279999999999291e+02,nan
7.805568253972313641e+01,6.851088726987417488e+01,7.000000000000000000e+00,8.301279999999999291e+02,nan
7.805569333617388850e+01,6.851076940571284979e+01,8.000000000000000000e+00,8.301279999999999291e+02,nan
7.805570306621871168e+01,6.851073420313571205e+01,9.000000000000000000e+00,8.301279999999999291e+02,nan
7.805569833589900952e+01,6.851070772428535349e+01,1.000000000000000000e+01,8.301279999999999291e+02,nan
7.805571906037417307e+01,6.851062543117608072e+01,1.100000000000000000e+01,8.308040000000000873e+02,nan
7.805574000108572363e+01,6.851054423772414737e+01,1.200000000000000000e+01,8.308040000000000873e+02,nan
7.805576140117989326e+01,6.851046565964153956e+01,1.300000000000000000e+01,8.308040000000000873e+02,nan
7.805578251436524795e+01,6.851038532137052073e+01,1.400000000000000000e+01,8.308040000000000873e+02,nan
7.805580334197823333e+01,6.851030349663957963e+01,1.500000000000000000e+01,8.308040000000000873e+02,nan
7.805582629678055184e+01,6.851023631573566774e+01,1.600000000000000000e+01,8.308040000000000873e+02,nan
7.805584763591348008e+01,6.851015734735200624e+01,1.700000000000000000e+01,8.308040000000000873e+02,nan
7.805587032189008312e+01,6.851008770388598634e+01,1.800000000000000000e+01,8.308040000000000873e+02,nan
7.805589183791224173e+01,6.851000995668901794e+01,1.900000000000000000e+01,8.308040000000000873e+02,nan
7.805591499380221876e+01,6.850994452903010767e+01,2.000000000000000000e+01,8.308040000000000873e+02,nan
7.805593767802790239e+01,6.850987522913075622e+01,2.100000000000000000e+01,8.308040000000000873e+02,nan
7.805595940682901812e+01,6.850979887836403748e+01,2.200000000000000000e+01,8.308040000000000873e+02,nan
7.805598150731462681e+01,6.850972621858093703e+01,2.300000000000000000e+01,8.308040000000000873e+02,nan
7.805600075755921807e+01,6.850964195868353102e+01,2.400000000000000000e+01,8.308040000000000873e+02,nan
7.805601624651454529e+01,6.850953586819807128e+01,2.500000000000000000e+01,8.308040000000000873e+02,nan
7.805603291276389655e+01,6.850943438768348415e+01,2.600000000000000000e+01,8.308040000000000873e+02,nan
7.805605262865196892e+01,6.850934611942598451e+01,2.700000000000000000e+01,8.308040000000000873e+02,nan
7.805606961274264677e+01,6.850924612636683264e+01,2.800000000000000000e+01,8.308040000000000873e+02,nan
7.805608540688720609e+01,6.850914105144924804e+01,2.900000000000000000e+01,8.314800000000000182e+02,nan
